Name,Sex,Sport,Team,Value Column Name,Value
"Dara Grace Torres (-Hoffman, -Minas)",F,All,All,Bronze Medals,
"Dara Grace Torres (-Hoffman, -Minas)",F,Swimming,All,Medals,
"Dara Grace Torres (-Hoffman, -Minas)",F,Swimming,All,Gold Medals,
"Dara Grace Torres (-Hoffman, -Minas)",F,Swimming,All,Silver Medals,
"Dara Grace Torres (-Hoffman, -Minas)",F,Swimming,All,Bronze Medals,
"Dara Grace Torres (-Hoffman, -Minas)",F,Swimming,United States,Medals,12
"Dara Grace Torres (-Hoffman, -Minas)",F,Swimming,United States,Gold Medals,4
"Dara Grace Torres (-Hoffman, -Minas)",F,Swimming,United States,Silver Medals,4
"Dara Grace Torres (-Hoffman, -Minas)",F,Swimming,United States,Bronze Medals,4
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",All,All,All,Medals,
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",All,All,All,Gold Medals,
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",All,All,All,Silver Medals,
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",All,All,All,Bronze Medals,
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",F,All,All,Medals,
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",F,All,All,Gold Medals,
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",F,All,All,Silver Medals,
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",F,All,All,Bronze Medals,
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",F,Swimming,All,Medals,
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",F,Swimming,All,Gold Medals,
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",F,Swimming,All,Silver Medals,
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",F,Swimming,All,Bronze Medals,
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",F,Swimming,United States,Medals,12
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",F,Swimming,United States,Gold Medals,8
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",F,Swimming,United States,Silver Medals,3
"Jennifer Elisabeth Jenny"" Thompson (-Cumpelik)""",F,Swimming,United States,Bronze Medals,1
Natalie Anne Coughlin (-Hall),All,All,All,Medals,
Natalie Anne Coughlin (-Hall),All,All,All,Gold Medals,
Natalie Anne Coughlin (-Hall),All,All,All,Silver Medals,
Natalie Anne Coughlin (-Hall),All,All,All,Bronze Medals,
Natalie Anne Coughlin (-Hall),F,All,All,Medals,
Natalie Anne Coughlin (-Hall),F,All,All,Gold Medals,
Natalie Anne Coughlin (-Hall),F,All,All,Silver Medals,
Natalie Anne Coughlin (-Hall),F,All,All,Bronze Medals,
Natalie Anne Coughlin (-Hall),F,Swimming,All,Medals,
Natalie Anne Coughlin (-Hall),F,Swimming,All,Gold Medals,
Natalie Anne Coughlin (-Hall),F,Swimming,All,Silver Medals,
Natalie Anne Coughlin (-Hall),F,Swimming,All,Bronze Medals,
Natalie Anne Coughlin (-Hall),F,Swimming,United States,Medals,12
Natalie Anne Coughlin (-Hall),F,Swimming,United States,Gold Medals,3
Natalie Anne Coughlin (-Hall),F,Swimming,United States,Silver Medals,4
Natalie Anne Coughlin (-Hall),F,Swimming,United States,Bronze Medals,5
Paavo Johannes Nurmi,All,All,All,Medals,
Paavo Johannes Nurmi,All,All,All,Gold Medals,
Paavo Johannes Nurmi,All,All,All,Silver Medals,
Paavo Johannes Nurmi,All,All,All,Bronze Medals,
Paavo Johannes Nurmi,M,All,All,Medals,
Paavo Johannes Nurmi,M,All,All,Gold Medals,
Paavo Johannes Nurmi,M,All,All,Silver Medals,
Paavo Johannes Nurmi,M,All,All,Bronze Medals,
Paavo Johannes Nurmi,M,Athletics,All,Medals,
Paavo Johannes Nurmi,M,Athletics,All,Gold Medals,
Paavo Johannes Nurmi,M,Athletics,All,Silver Medals,
Paavo Johannes Nurmi,M,Athletics,All,Bronze Medals,
Paavo Johannes Nurmi,M,Athletics,Finland,Medals,12
Paavo Johannes Nurmi,M,Athletics,Finland,Gold Medals,9
Paavo Johannes Nurmi,M,Athletics,Finland,Silver Medals,3
Paavo Johannes Nurmi,M,Athletics,Finland,Bronze Medals,0
Ryan Steven Lochte,All,All,All,Medals,
