Index,Description,Group 1,Value Column Name,Value,
8,Less: business dispositions,Profit margin,Profit Margin_V,,
9,All,All,Revenues_2020,,
9,All,All,Revenues_2019,,
9,All,All,Revenues_V%,,
9,All,Revenues,Segment profit (loss)_2020,,
9,All,Revenues,Segment profit (loss)_2019,,
9,All,Revenues,Segment profit (loss)_V%,,
9,All,Profit margin,Profit Margin_2020,,
9,All,Profit margin,Profit Margin_2019,,
9,All,Profit margin,Profit Margin_V,,
9,Less: foreign currency effect,All,Revenues_2020,-167,
9,Less: foreign currency effect,All,Revenues_2019,0,
9,Less: foreign currency effect,All,Revenues_V%,,
9,Less: foreign currency effect,Revenues,Segment profit (loss)_2020,16,
9,Less: foreign currency effect,Revenues,Segment profit (loss)_2019,0,
9,Less: foreign currency effect,Revenues,Segment profit (loss)_V%,,
9,Less: foreign currency effect,Profit margin,Profit Margin_2020,,
9,Less: foreign currency effect,Profit margin,Profit Margin_2019,,
9,Less: foreign currency effect,Profit margin,Profit Margin_V,,
10,All,All,Revenues_2020,,
10,All,All,Revenues_2019,,
10,All,All,Revenues_V%,,
10,All,Revenues,Segment profit (loss)_2020,,
10,All,Revenues,Segment profit (loss)_2019,,
10,All,Revenues,Segment profit (loss)_V%,,
10,All,Profit margin,Profit Margin_2020,,
10,All,Profit margin,Profit Margin_2019,,
10,All,Profit margin,Profit Margin_V,,
10,Renewable Energy,All,Revenues_2020,,
10,Renewable Energy,All,Revenues_2019,,
10,Renewable Energy,All,Revenues_V%,,
10,Renewable Energy,Revenues,Segment profit (loss)_2020,,
10,Renewable Energy,Revenues,Segment profit (loss)_2019,,
10,Renewable Energy,Revenues,Segment profit (loss)_V%,,
10,Renewable Energy,Profit margin,Profit Margin_2020,,
10,Renewable Energy,Profit margin,Profit Margin_2019,,
10,Renewable Energy,Profit margin,Profit Margin_V,,
11,All,All,Revenues_2020,,
11,All,All,Revenues_2019,,
11,All,All,Revenues_V%,,
11,All,Revenues,Segment profit (loss)_2020,,
11,All,Revenues,Segment profit (loss)_2019,,
11,All,Revenues,Segment profit (loss)_V%,,
11,All,Profit margin,Profit Margin_2020,,
11,All,Profit margin,Profit Margin_2019,,
11,All,Profit margin,Profit Margin_V,,
11,organic (Non-GAAP),All,Revenues_2020,15824,
11,organic (Non-GAAP),All,Revenues_2019,15243,
11,organic (Non-GAAP),All,Revenues_V%,0.04,
11,organic (Non-GAAP),Revenues,Segment profit (loss)_2020,-731,
11,organic (Non-GAAP),Revenues,Segment profit (loss)_2019,-781,
11,organic (Non-GAAP),Revenues,Segment profit (loss)_V%,0.06,
11,organic (Non-GAAP),Profit margin,Profit Margin_2020,-0.046,
11,organic (Non-GAAP),Profit margin,Profit Margin_2019,-0.051,
11,organic (Non-GAAP),Profit margin,Profit Margin_V,0.5,
12,All,All,Revenues_2020,,
12,All,All,Revenues_2019,,
12,All,All,Revenues_V%,,
12,All,Revenues,Segment profit (loss)_2020,,
12,All,Revenues,Segment profit (loss)_2019,,
12,All,Revenues,Segment profit (loss)_V%,,
12,All,Profit margin,Profit Margin_2020,,
12,All,Profit margin,Profit Margin_2019,,
12,All,Profit margin,Profit Margin_V,,
12,Aviation (GAAP),All,Revenues_2020,22042,
12,Aviation (GAAP),All,Revenues_2019,32875,
12,Aviation (GAAP),All,Revenues_V%,-0.33,
12,Aviation (GAAP),Revenues,Segment profit (loss)_2020,1229,
12,Aviation (GAAP),Revenues,Segment profit (loss)_2019,6812,
12,Aviation (GAAP),Revenues,Segment profit (loss)_V%,-0.82,
12,Aviation (GAAP),Profit margin,Profit Margin_2020,0.056,
12,Aviation (GAAP),Profit margin,Profit Margin_2019,0.207,
12,Aviation (GAAP),Profit margin,Profit Margin_V,-15.1,
13,All,All,Revenues_2020,,
13,All,All,Revenues_2019,,
13,All,All,Revenues_V%,,
13,All,Revenues,Segment profit (loss)_2020,,
13,All,Revenues,Segment profit (loss)_2019,,
13,All,Revenues,Segment profit (loss)_V%,,
13,All,Profit margin,Profit Margin_2020,,
13,All,Profit margin,Profit Margin_2019,,
13,All,Profit margin,Profit Margin_V,,
13,Less: acquisitions,All,Revenues_2020,0,
13,Less: acquisitions,All,Revenues_2019,0,
13,Less: acquisitions,All,Revenues_V%,,
13,Less: acquisitions,Revenues,Segment profit (loss)_2020,0,
13,Less: acquisitions,Revenues,Segment profit (loss)_2019,0,
13,Less: acquisitions,Revenues,Segment profit (loss)_V%,,
13,Less: acquisitions,Profit margin,Profit Margin_2020,,
13,Less: acquisitions,Profit margin,Profit Margin_2019,,
13,Less: acquisitions,Profit margin,Profit Margin_V,,
14,All,All,Revenues_2020,,
14,All,All,Revenues_2019,,
14,All,All,Revenues_V%,,
14,All,Revenues,Segment profit (loss)_2020,,
14,All,Revenues,Segment profit (loss)_2019,,
14,All,Revenues,Segment profit (loss)_V%,,
14,All,Profit margin,Profit Margin_2020,,
14,All,Profit margin,Profit Margin_2019,,
14,All,Profit margin,Profit Margin_V,,
14,Less: business dispositions,All,Revenues_2020,13,
14,Less: business dispositions,All,Revenues_2019,369,
14,Less: business dispositions,All,Revenues_V%,,
14,Less: business dispositions,Revenues,Segment profit (loss)_2020,-2,
14,Less: business dispositions,Revenues,Segment profit (loss)_2019,-2,
14,Less: business dispositions,Revenues,Segment profit (loss)_V%,,
14,Less: business dispositions,Profit margin,Profit Margin_2020,,
14,Less: business dispositions,Profit margin,Profit Margin_2019,,
14,Less: business dispositions,Profit margin,Profit Margin_V,,
15,All,All,Revenues_2020,,
15,All,All,Revenues_2019,,
15,All,All,Revenues_V%,,
15,All,Revenues,Segment profit (loss)_2020,,
15,All,Revenues,Segment profit (loss)_2019,,
15,All,Revenues,Segment profit (loss)_V%,,
15,All,Profit margin,Profit Margin_2020,,
15,All,Profit margin,Profit Margin_2019,,
15,All,Profit margin,Profit Margin_V,,
15,Less: foreign currency effect,All,Revenues_2020,-3,
15,Less: foreign currency effect,All,Revenues_2019,0,
15,Less: foreign currency effect,All,Revenues_V%,,
15,Less: foreign currency effect,Revenues,Segment profit (loss)_2020,-5,
15,Less: foreign currency effect,Revenues,Segment profit (loss)_2019,0,
15,Less: foreign currency effect,Revenues,Segment profit (loss)_V%,,
15,Less: foreign currency effect,Profit margin,Profit Margin_2020,,
15,Less: foreign currency effect,Profit margin,Profit Margin_2019,,
15,Less: foreign currency effect,Profit margin,Profit Margin_V,,
16,All,All,Revenues_2020,,
16,All,All,Revenues_2019,,
16,All,All,Revenues_V%,,
16,All,Revenues,Segment profit (loss)_2020,,
16,All,Revenues,Segment profit (loss)_2019,,
16,All,Revenues,Segment profit (loss)_V%,,
16,All,Profit margin,Profit Margin_2020,,
16,All,Profit margin,Profit Margin_2019,,
16,All,Profit margin,Profit Margin_V,,
16,Aviation organic (Non-GAAP),All,Revenues_2020,22032,
16,Aviation organic (Non-GAAP),All,Revenues_2019,32506,
16,Aviation organic (Non-GAAP),All,Revenues_V%,-0.32,
16,Aviation organic (Non-GAAP),Revenues,Segment profit (loss)_2020,1237,
16,Aviation organic (Non-GAAP),Revenues,Segment profit (loss)_2019,6814,
16,Aviation organic (Non-GAAP),Revenues,Segment profit (loss)_V%,-0.82,
16,Aviation organic (Non-GAAP),Profit margin,Profit Margin_2020,0.056,
16,Aviation organic (Non-GAAP),Profit margin,Profit Margin_2019,0.21,
16,Aviation organic (Non-GAAP),Profit margin,Profit Margin_V,-15.4,
17,All,All,Revenues_2020,,
17,All,All,Revenues_2019,,
17,All,All,Revenues_V%,,
17,All,Revenues,Segment profit (loss)_2020,,
17,All,Revenues,Segment profit (loss)_2019,,
17,All,Revenues,Segment profit (loss)_V%,,
17,All,Profit margin,Profit Margin_2020,,
17,All,Profit margin,Profit Margin_2019,,
17,All,Profit margin,Profit Margin_V,,
17,Healthcare (GAAP),All,Revenues_2020,18009,
17,Healthcare (GAAP),All,Revenues_2019,19942,
17,Healthcare (GAAP),All,Revenues_V%,-0.1,
17,Healthcare (GAAP),Revenues,Segment profit (loss)_2020,3060,
17,Healthcare (GAAP),Revenues,Segment profit (loss)_2019,3737,
17,Healthcare (GAAP),Revenues,Segment profit (loss)_V%,-0.18,
17,Healthcare (GAAP),Profit margin,Profit Margin_2020,0.17,
17,Healthcare (GAAP),Profit margin,Profit Margin_2019,0.187,
17,Healthcare (GAAP),Profit margin,Profit Margin_V,-1.7,
