GEO (Labels),Level ,Value Column Name,Value
Languedoc-Roussillon,Levels 0-2,Unemployment,17.6
Languedoc-Roussillon,Levels 3 - 4,Unemployment,9.8
Languedoc-Roussillon,Levels 5 - 8,Unemployment,5.9
Srbija - jug,All Levels,Unemployment,10.7
Srbija - jug,Levels 0-2,Unemployment,8.1
Srbija - jug,Levels 3 - 4,Unemployment,11.2
Srbija - jug,Levels 5 - 8,Unemployment,12
Stockholm,All Levels,Unemployment,7.6
Stockholm,Levels 0-2,Unemployment,23.4
Stockholm,Levels 3 - 4,Unemployment,6.5
Stockholm,Levels 5 - 8,Unemployment,4.5
Västsverige,All Levels,Unemployment,7.6
Västsverige,Levels 0-2,Unemployment,22.6
Västsverige,Levels 3 - 4,Unemployment,5.6
Västsverige,Levels 5 - 8,Unemployment,4.7
Latvia,All Levels,Unemployment,8.1
Latvia,Levels 0-2,Unemployment,18.4
Latvia,Levels 3 - 4,Unemployment,8.8
Latvia,Levels 5 - 8,Unemployment,5.1
Latvija,All Levels,Unemployment,8.1
Latvija,Levels 0-2,Unemployment,18.4
Latvija,Levels 3 - 4,Unemployment,8.8
Latvija,Levels 5 - 8,Unemployment,5.1
Nord-Pas-de-Calais,All Levels,Unemployment,9.1
Nord-Pas-de-Calais,Levels 0-2,Unemployment,16.9
Nord-Pas-de-Calais,Levels 3 - 4,Unemployment,10.9
Nord-Pas-de-Calais,Levels 5 - 8,Unemployment,3.5
Småland med öarna,All Levels,Unemployment,7.7
Småland med öarna,Levels 0-2,Unemployment,24.2
Småland med öarna,Levels 3 - 4,Unemployment,5
Småland med öarna,Levels 5 - 8,Unemployment,3.3
"Aydin, Denizli, Mugla",All Levels,Unemployment,9.7
"Aydin, Denizli, Mugla",Levels 0-2,Unemployment,8.8
"Aydin, Denizli, Mugla",Levels 3 - 4,Unemployment,11.2
"Aydin, Denizli, Mugla",Levels 5 - 8,Unemployment,10.2
Hauts-de-France,All Levels,Unemployment,9
Hauts-de-France,Levels 0-2,Unemployment,16.8
Hauts-de-France,Levels 3 - 4,Unemployment,10.3
Hauts-de-France,Levels 5 - 8,Unemployment,3.8
Mellersta Norrland,All Levels,Unemployment,7.6
Mellersta Norrland,Levels 0-2,Unemployment,26.7
Mellersta Norrland,Levels 3 - 4,Unemployment,5.6
Mellersta Norrland,Levels 5 - 8,Unemployment,
Finland,All Levels,Unemployment,7.8
Finland,Levels 0-2,Unemployment,18.8
Finland,Levels 3 - 4,Unemployment,8.9
Finland,Levels 5 - 8,Unemployment,4.3
Manner-Suomi,All Levels,Unemployment,7.8
Manner-Suomi,Levels 0-2,Unemployment,18.8
Manner-Suomi,Levels 3 - 4,Unemployment,8.9
Manner-Suomi,Levels 5 - 8,Unemployment,4.3
Länsi-Suomi,All Levels,Unemployment,7.7
Länsi-Suomi,Levels 0-2,Unemployment,18.8
Länsi-Suomi,Levels 3 - 4,Unemployment,9
Länsi-Suomi,Levels 5 - 8,Unemployment,4
Region Sumadije i Zapadne Srbije,All Levels,Unemployment,10
Region Sumadije i Zapadne Srbije,Levels 0-2,Unemployment,5.9
