Column2,Year,Value Column Name,Value
VANCOUVER GRIZZLIES,All,Jordan,135
VANCOUVER GRIZZLIES,1984,Jordan,
VANCOUVER GRIZZLIES,1985,Jordan,
VANCOUVER GRIZZLIES,1986,Jordan,
VANCOUVER GRIZZLIES,1987,Jordan,
VANCOUVER GRIZZLIES,1988,Jordan,
VANCOUVER GRIZZLIES,1989,Jordan,
VANCOUVER GRIZZLIES,1990,Jordan,
VANCOUVER GRIZZLIES,1991,Jordan,
VANCOUVER GRIZZLIES,1992,Jordan,
VANCOUVER GRIZZLIES,1993,Jordan,
VANCOUVER GRIZZLIES,1995,Jordan,29
VANCOUVER GRIZZLIES,1996,Jordan,34
VANCOUVER GRIZZLIES,1997,Jordan,28
VANCOUVER GRIZZLIES,1998,Jordan,44
VANCOUVER GRIZZLIES,2001,Jordan,
VANCOUVER GRIZZLIES,2002,Jordan,
VANCOUVER GRIZZLIES,2003,Jordan,
WASHINGTON BULLETS,All,Jordan,1378
WASHINGTON BULLETS,1984,Jordan,16
WASHINGTON BULLETS,1985,Jordan,121
WASHINGTON BULLETS,1986,Jordan,81
WASHINGTON BULLETS,1987,Jordan,199
WASHINGTON BULLETS,1988,Jordan,116
WASHINGTON BULLETS,1989,Jordan,125
WASHINGTON BULLETS,1990,Jordan,126
WASHINGTON BULLETS,1991,Jordan,89
WASHINGTON BULLETS,1992,Jordan,183
WASHINGTON BULLETS,1993,Jordan,72
WASHINGTON BULLETS,1995,Jordan,
WASHINGTON BULLETS,1996,Jordan,141
WASHINGTON BULLETS,1997,Jordan,109
WASHINGTON BULLETS,1998,Jordan,
WASHINGTON BULLETS,2001,Jordan,
WASHINGTON BULLETS,2002,Jordan,
WASHINGTON BULLETS,2003,Jordan,
WASHINGTON WIZARDS,All,Jordan,106
WASHINGTON WIZARDS,1984,Jordan,
WASHINGTON WIZARDS,1985,Jordan,
WASHINGTON WIZARDS,1986,Jordan,
WASHINGTON WIZARDS,1987,Jordan,
WASHINGTON WIZARDS,1988,Jordan,
WASHINGTON WIZARDS,1989,Jordan,
WASHINGTON WIZARDS,1990,Jordan,
WASHINGTON WIZARDS,1991,Jordan,
WASHINGTON WIZARDS,1992,Jordan,
WASHINGTON WIZARDS,1993,Jordan,
WASHINGTON WIZARDS,1995,Jordan,
WASHINGTON WIZARDS,1996,Jordan,
WASHINGTON WIZARDS,1997,Jordan,57
WASHINGTON WIZARDS,1998,Jordan,49
WASHINGTON WIZARDS,2001,Jordan,
WASHINGTON WIZARDS,2002,Jordan,
WASHINGTON WIZARDS,2003,Jordan,
