Column2,Year,Value Column Name,Value
MIAMI HEAT,2013,Lebron,
MIAMI HEAT,2014,Lebron,30
MIAMI HEAT,2015,Lebron,96
MIAMI HEAT,2016,Lebron,53
MIAMI HEAT,2017,Lebron,51
MIAMI HEAT,2018,Lebron,121
MIAMI HEAT,2019,Lebron,53
MIAMI HEAT,2020,Lebron,
MILWAUKEE BUCKS,All,Lebron,1662
MILWAUKEE BUCKS,2003,Lebron,
MILWAUKEE BUCKS,2004,Lebron,122
MILWAUKEE BUCKS,2005,Lebron,126
MILWAUKEE BUCKS,2006,Lebron,121
MILWAUKEE BUCKS,2007,Lebron,129
MILWAUKEE BUCKS,2008,Lebron,137
MILWAUKEE BUCKS,2009,Lebron,118
MILWAUKEE BUCKS,2010,Lebron,40
MILWAUKEE BUCKS,2011,Lebron,80
MILWAUKEE BUCKS,2012,Lebron,157
MILWAUKEE BUCKS,2013,Lebron,89
MILWAUKEE BUCKS,2014,Lebron,56
MILWAUKEE BUCKS,2015,Lebron,113
MILWAUKEE BUCKS,2016,Lebron,128
MILWAUKEE BUCKS,2017,Lebron,117
MILWAUKEE BUCKS,2018,Lebron,40
MILWAUKEE BUCKS,2019,Lebron,52
MILWAUKEE BUCKS,2020,Lebron,37
MINNESOTA TIMBERWOLVES,All,Lebron,854
MINNESOTA TIMBERWOLVES,2003,Lebron,19
MINNESOTA TIMBERWOLVES,2004,Lebron,40
MINNESOTA TIMBERWOLVES,2005,Lebron,64
MINNESOTA TIMBERWOLVES,2006,Lebron,72
MINNESOTA TIMBERWOLVES,2007,Lebron,76
MINNESOTA TIMBERWOLVES,2008,Lebron,62
MINNESOTA TIMBERWOLVES,2009,Lebron,49
MINNESOTA TIMBERWOLVES,2010,Lebron,32
MINNESOTA TIMBERWOLVES,2011,Lebron,61
MINNESOTA TIMBERWOLVES,2012,Lebron,22
MINNESOTA TIMBERWOLVES,2013,Lebron,41
MINNESOTA TIMBERWOLVES,2014,Lebron,58
MINNESOTA TIMBERWOLVES,2015,Lebron,36
MINNESOTA TIMBERWOLVES,2016,Lebron,38
MINNESOTA TIMBERWOLVES,2017,Lebron,52
MINNESOTA TIMBERWOLVES,2018,Lebron,100
MINNESOTA TIMBERWOLVES,2019,Lebron,32
MINNESOTA TIMBERWOLVES,2020,Lebron,
NEW JERSEY NETS,All,Lebron,843
NEW JERSEY NETS,2003,Lebron,
NEW JERSEY NETS,2004,Lebron,114
NEW JERSEY NETS,2005,Lebron,115
NEW JERSEY NETS,2006,Lebron,100
NEW JERSEY NETS,2007,Lebron,83
NEW JERSEY NETS,2008,Lebron,106
NEW JERSEY NETS,2009,Lebron,75
NEW JERSEY NETS,2010,Lebron,129
NEW JERSEY NETS,2011,Lebron,31
NEW JERSEY NETS,2012,Lebron,90
NEW JERSEY NETS,2013,Lebron,
NEW JERSEY NETS,2014,Lebron,
NEW JERSEY NETS,2015,Lebron,
NEW JERSEY NETS,2016,Lebron,
NEW JERSEY NETS,2017,Lebron,
NEW JERSEY NETS,2018,Lebron,
NEW JERSEY NETS,2019,Lebron,
NEW JERSEY NETS,2020,Lebron,
NEW ORLEANS HORNETS,All,Lebron,409
NEW ORLEANS HORNETS,2003,Lebron,37
NEW ORLEANS HORNETS,2004,Lebron,62
NEW ORLEANS HORNETS,2005,Lebron,44
NEW ORLEANS HORNETS,2006,Lebron,
NEW ORLEANS HORNETS,2007,Lebron,21
NEW ORLEANS HORNETS,2008,Lebron,36
NEW ORLEANS HORNETS,2009,Lebron,29
NEW ORLEANS HORNETS,2010,Lebron,98
NEW ORLEANS HORNETS,2011,Lebron,
NEW ORLEANS HORNETS,2012,Lebron,46
NEW ORLEANS HORNETS,2013,Lebron,36
NEW ORLEANS HORNETS,2014,Lebron,
NEW ORLEANS HORNETS,2015,Lebron,
NEW ORLEANS HORNETS,2016,Lebron,
NEW ORLEANS HORNETS,2017,Lebron,
NEW ORLEANS HORNETS,2018,Lebron,
NEW ORLEANS HORNETS,2019,Lebron,
NEW ORLEANS HORNETS,2020,Lebron,
NEW ORLEANS PELICANS,All,Lebron,493
NEW ORLEANS PELICANS,2003,Lebron,
NEW ORLEANS PELICANS,2004,Lebron,
NEW ORLEANS PELICANS,2005,Lebron,
NEW ORLEANS PELICANS,2006,Lebron,
NEW ORLEANS PELICANS,2007,Lebron,
NEW ORLEANS PELICANS,2008,Lebron,
NEW ORLEANS PELICANS,2009,Lebron,
NEW ORLEANS PELICANS,2010,Lebron,
NEW ORLEANS PELICANS,2011,Lebron,
NEW ORLEANS PELICANS,2012,Lebron,
NEW ORLEANS PELICANS,2013,Lebron,
NEW ORLEANS PELICANS,2014,Lebron,130
NEW ORLEANS PELICANS,2015,Lebron,37
NEW ORLEANS PELICANS,2016,Lebron,27
NEW ORLEANS PELICANS,2017,Lebron,70
NEW ORLEANS PELICANS,2018,Lebron,49
NEW ORLEANS PELICANS,2019,Lebron,89
NEW ORLEANS PELICANS,2020,Lebron,91
NEW ORLEANS/OKLAHOMA CITY HORNETS,All,Lebron,113
NEW ORLEANS/OKLAHOMA CITY HORNETS,2003,Lebron,
NEW ORLEANS/OKLAHOMA CITY HORNETS,2004,Lebron,
NEW ORLEANS/OKLAHOMA CITY HORNETS,2005,Lebron,31
NEW ORLEANS/OKLAHOMA CITY HORNETS,2006,Lebron,47
NEW ORLEANS/OKLAHOMA CITY HORNETS,2007,Lebron,35
NEW ORLEANS/OKLAHOMA CITY HORNETS,2008,Lebron,
NEW ORLEANS/OKLAHOMA CITY HORNETS,2009,Lebron,
NEW ORLEANS/OKLAHOMA CITY HORNETS,2010,Lebron,
NEW ORLEANS/OKLAHOMA CITY HORNETS,2011,Lebron,
NEW ORLEANS/OKLAHOMA CITY HORNETS,2012,Lebron,
NEW ORLEANS/OKLAHOMA CITY HORNETS,2013,Lebron,
NEW ORLEANS/OKLAHOMA CITY HORNETS,2014,Lebron,
NEW ORLEANS/OKLAHOMA CITY HORNETS,2015,Lebron,
NEW ORLEANS/OKLAHOMA CITY HORNETS,2016,Lebron,
NEW ORLEANS/OKLAHOMA CITY HORNETS,2017,Lebron,
NEW ORLEANS/OKLAHOMA CITY HORNETS,2018,Lebron,
NEW ORLEANS/OKLAHOMA CITY HORNETS,2019,Lebron,
NEW ORLEANS/OKLAHOMA CITY HORNETS,2020,Lebron,
NEW YORK KNICKERBOCKERS,All,Lebron,1460
NEW YORK KNICKERBOCKERS,2003,Lebron,17
NEW YORK KNICKERBOCKERS,2004,Lebron,66
NEW YORK KNICKERBOCKERS,2005,Lebron,49
NEW YORK KNICKERBOCKERS,2006,Lebron,128
NEW YORK KNICKERBOCKERS,2007,Lebron,122
NEW YORK KNICKERBOCKERS,2008,Lebron,97
NEW YORK KNICKERBOCKERS,2009,Lebron,104
NEW YORK KNICKERBOCKERS,2010,Lebron,119
NEW YORK KNICKERBOCKERS,2011,Lebron,51
NEW YORK KNICKERBOCKERS,2012,Lebron,134
NEW YORK KNICKERBOCKERS,2013,Lebron,29
NEW YORK KNICKERBOCKERS,2014,Lebron,167
NEW YORK KNICKERBOCKERS,2015,Lebron,96
NEW YORK KNICKERBOCKERS,2016,Lebron,71
NEW YORK KNICKERBOCKERS,2017,Lebron,89
NEW YORK KNICKERBOCKERS,2018,Lebron,36
NEW YORK KNICKERBOCKERS,2019,Lebron,33
NEW YORK KNICKERBOCKERS,2020,Lebron,52
OKLAHOMA CITY THUNDER,All,Lebron,611
OKLAHOMA CITY THUNDER,2003,Lebron,
OKLAHOMA CITY THUNDER,2004,Lebron,
OKLAHOMA CITY THUNDER,2005,Lebron,
OKLAHOMA CITY THUNDER,2006,Lebron,
OKLAHOMA CITY THUNDER,2007,Lebron,
OKLAHOMA CITY THUNDER,2008,Lebron,45
OKLAHOMA CITY THUNDER,2009,Lebron,44
OKLAHOMA CITY THUNDER,2010,Lebron,37
OKLAHOMA CITY THUNDER,2011,Lebron,42
OKLAHOMA CITY THUNDER,2012,Lebron,80
OKLAHOMA CITY THUNDER,2013,Lebron,39
OKLAHOMA CITY THUNDER,2014,Lebron,67
OKLAHOMA CITY THUNDER,2015,Lebron,67
OKLAHOMA CITY THUNDER,2016,Lebron,25
OKLAHOMA CITY THUNDER,2017,Lebron,43
OKLAHOMA CITY THUNDER,2018,Lebron,55
OKLAHOMA CITY THUNDER,2019,Lebron,48
OKLAHOMA CITY THUNDER,2020,Lebron,19
ORLANDO MAGIC,All,Lebron,1450
ORLANDO MAGIC,2003,Lebron,34
ORLANDO MAGIC,2004,Lebron,46
ORLANDO MAGIC,2005,Lebron,156
ORLANDO MAGIC,2006,Lebron,112
ORLANDO MAGIC,2007,Lebron,57
ORLANDO MAGIC,2008,Lebron,76
ORLANDO MAGIC,2009,Lebron,128
ORLANDO MAGIC,2010,Lebron,105
ORLANDO MAGIC,2011,Lebron,80
ORLANDO MAGIC,2012,Lebron,111
ORLANDO MAGIC,2013,Lebron,93
ORLANDO MAGIC,2014,Lebron,93
ORLANDO MAGIC,2015,Lebron,61
ORLANDO MAGIC,2016,Lebron,70
ORLANDO MAGIC,2017,Lebron,64
ORLANDO MAGIC,2018,Lebron,120
ORLANDO MAGIC,2019,Lebron,25
ORLANDO MAGIC,2020,Lebron,19
PHILADELPHIA 76ERS,All,Lebron,1394
PHILADELPHIA 76ERS,2003,Lebron,58
PHILADELPHIA 76ERS,2004,Lebron,16
PHILADELPHIA 76ERS,2005,Lebron,123
PHILADELPHIA 76ERS,2006,Lebron,126
PHILADELPHIA 76ERS,2007,Lebron,78
PHILADELPHIA 76ERS,2008,Lebron,110
PHILADELPHIA 76ERS,2009,Lebron,95
PHILADELPHIA 76ERS,2010,Lebron,59
PHILADELPHIA 76ERS,2011,Lebron,32
PHILADELPHIA 76ERS,2012,Lebron,117
PHILADELPHIA 76ERS,2013,Lebron,120
PHILADELPHIA 76ERS,2014,Lebron,21
PHILADELPHIA 76ERS,2015,Lebron,114
PHILADELPHIA 76ERS,2016,Lebron,88
PHILADELPHIA 76ERS,2017,Lebron,94
PHILADELPHIA 76ERS,2018,Lebron,74
PHILADELPHIA 76ERS,2019,Lebron,18
PHILADELPHIA 76ERS,2020,Lebron,51
PHOENIX SUNS,All,Lebron,933
PHOENIX SUNS,2003,Lebron,21
PHOENIX SUNS,2004,Lebron,78
PHOENIX SUNS,2005,Lebron,
PHOENIX SUNS,2006,Lebron,90
PHOENIX SUNS,2007,Lebron,91
PHOENIX SUNS,2008,Lebron,36
PHOENIX SUNS,2009,Lebron,101
PHOENIX SUNS,2010,Lebron,56
PHOENIX SUNS,2011,Lebron,
PHOENIX SUNS,2012,Lebron,64
PHOENIX SUNS,2013,Lebron,35
PHOENIX SUNS,2014,Lebron,37
PHOENIX SUNS,2015,Lebron,64
PHOENIX SUNS,2016,Lebron,21
PHOENIX SUNS,2017,Lebron,49
PHOENIX SUNS,2018,Lebron,96
PHOENIX SUNS,2019,Lebron,46
PHOENIX SUNS,2020,Lebron,48
PORTLAND TRAILBLAZERS,All,Lebron,926
PORTLAND TRAILBLAZERS,2003,Lebron,40
PORTLAND TRAILBLAZERS,2004,Lebron,25
PORTLAND TRAILBLAZERS,2005,Lebron,27
PORTLAND TRAILBLAZERS,2006,Lebron,88
PORTLAND TRAILBLAZERS,2007,Lebron,23
PORTLAND TRAILBLAZERS,2008,Lebron,61
PORTLAND TRAILBLAZERS,2009,Lebron,93
PORTLAND TRAILBLAZERS,2010,Lebron,41
PORTLAND TRAILBLAZERS,2011,Lebron,75
PORTLAND TRAILBLAZERS,2012,Lebron,38
PORTLAND TRAILBLAZERS,2013,Lebron,45
PORTLAND TRAILBLAZERS,2014,Lebron,43
PORTLAND TRAILBLAZERS,2015,Lebron,45
PORTLAND TRAILBLAZERS,2016,Lebron,31
PORTLAND TRAILBLAZERS,2017,Lebron,20
PORTLAND TRAILBLAZERS,2018,Lebron,157
PORTLAND TRAILBLAZERS,2019,Lebron,52
PORTLAND TRAILBLAZERS,2020,Lebron,22
SACRAMENTO KINGS,All,Lebron,806
SACRAMENTO KINGS,2003,Lebron,25
SACRAMENTO KINGS,2004,Lebron,
SACRAMENTO KINGS,2005,Lebron,83
SACRAMENTO KINGS,2006,Lebron,19
SACRAMENTO KINGS,2007,Lebron,60
SACRAMENTO KINGS,2008,Lebron,24
SACRAMENTO KINGS,2009,Lebron,108
SACRAMENTO KINGS,2010,Lebron,59
SACRAMENTO KINGS,2011,Lebron,31
SACRAMENTO KINGS,2012,Lebron,18
SACRAMENTO KINGS,2013,Lebron,111
