Rank,Name,Country,Source,Value Column Name,Value
46,Len Blavatnik,United States,,Children,
47,All,All,,NetWorth,
47,All,All,,Age,
47,All,All,,Children,
47,Lee Shau Kee,All,,NetWorth,
47,Lee Shau Kee,All,,Age,
47,Lee Shau Kee,All,,Children,
47,Lee Shau Kee,Hong Kong,,NetWorth,
47,Lee Shau Kee,Hong Kong,,Age,
47,Lee Shau Kee,Hong Kong,,Children,
47,Lee Shau Kee,Hong Kong,,NetWorth,31.7
47,Lee Shau Kee,Hong Kong,,Age,93
47,Lee Shau Kee,Hong Kong,,Children,5
48,All,All,,NetWorth,
48,All,All,,Age,
48,All,All,,Children,
48,Jacqueline Mars,All,,NetWorth,
48,Jacqueline Mars,All,,Age,
48,Jacqueline Mars,All,,Children,
48,Jacqueline Mars,United States,,NetWorth,
48,Jacqueline Mars,United States,,Age,
48,Jacqueline Mars,United States,,Children,
48,Jacqueline Mars,United States,,NetWorth,31.3
48,Jacqueline Mars,United States,,Age,81
48,Jacqueline Mars,United States,,Children,3
48,John Mars,All,,NetWorth,
48,John Mars,All,,Age,
48,John Mars,All,,Children,
48,John Mars,United States,,NetWorth,
48,John Mars,United States,,Age,
48,John Mars,United States,,Children,
48,John Mars,United States,,NetWorth,31.3
48,John Mars,United States,,Age,85
48,John Mars,United States,,Children,3
50,All,All,,NetWorth,
50,All,All,,Age,
50,All,All,,Children,
50,Yang Huiyan & family,All,,NetWorth,
50,Yang Huiyan & family,All,,Age,
50,Yang Huiyan & family,All,,Children,
50,Yang Huiyan & family,China,,NetWorth,
50,Yang Huiyan & family,China,,Age,
50,Yang Huiyan & family,China,,Children,
50,Yang Huiyan & family,China,,NetWorth,29.6
50,Yang Huiyan & family,China,,Age,39
50,Yang Huiyan & family,China,,Children,
