location,Year,Month,Value Column Name,Value,Last Updated,Source,ir_comments
"France","2020","June","% death","0.0784535383224056","","Visual Measure",""
"France","2020","July","new_cases","22995","","Native",""
"France","2020","July","new_deaths","422","","Native",""
"France","2020","July","% death","0.018351815612089584","","Visual Measure",""
"France","2020","August","new_cases","93921","","Native",""
"France","2020","August","new_deaths","378","","Native",""
"France","2020","August","% death","0.004024659021943974","","Visual Measure",""
"France","2020","September","new_cases","284733","","Native",""
"France","2020","September","new_deaths","1332","","Native",""
"France","2020","September","% death","0.00467806682049499","","Visual Measure",""
"France","2020","October","new_cases","808471","","Native",""
"France","2020","October","new_deaths","4849","","Native",""
"France","2020","October","% death","0.005997741415585717","","Visual Measure",""
"France","2020","November","new_cases","862510","","Native",""
"France","2020","November","new_deaths","15992","","Native",""
"France","2020","November","% death","0.0185412343045298","","Visual Measure",""
"France","2020","December","new_cases","400792","","Native",""
"France","2020","December","new_deaths","11940","","Native",""
"France","2020","December","% death","0.029791013792690474","","Visual Measure",""
"France","2021","January","new_cases","578254","","Native",""
"France","2021","January","new_deaths","11442","","Native",""
"France","2021","January","% death","0.01978715235865208","","Visual Measure",""
"France","2021","February","new_cases","559719","","Native",""
"France","2021","February","new_deaths","10379","","Native",""
"France","2021","February","% death","0.01854323330099568","","Visual Measure",""
"France","2021","March","new_cases","889429","","Native",""
"France","2021","March","new_deaths","9218","","Native",""
"France","2021","March","% death","0.01036395260329942","","Visual Measure",""
"France","2021","April","new_cases","731161","","Native",""
"France","2021","April","new_deaths","6248","","Native",""
"France","2021","April","% death","0.008545313549273006","","Visual Measure",""
"Russia","2020","January","new_cases","2","","Native",""
"Russia","2020","January","new_deaths",,"","Native",""
"Russia","2020","January","% death","0","","Visual Measure",""
"Russia","2020","February","new_cases","0","","Native",""
"Russia","2020","February","new_deaths",,"","Native",""
"Russia","2020","February","% death","","","Visual Measure",""
"Russia","2020","March","new_cases","2335","","Native",""
"Russia","2020","March","new_deaths","17","","Native",""
"Russia","2020","March","% death","0.007280513918629551","","Visual Measure",""
"Russia","2020","April","new_cases","104161","","Native",""
"Russia","2020","April","new_deaths","1056","","Native",""
"Russia","2020","April","% death","0.01013815151544244","","Visual Measure",""
"Russia","2020","May","new_cases","299345","","Native",""
"Russia","2020","May","new_deaths","3620","","Native",""
"Russia","2020","May","% death","0.012093069869214452","","Visual Measure",""
"Russia","2020","June","new_cases","241086","","Native",""
"Russia","2020","June","new_deaths","4613","","Native",""
"Russia","2020","June","% death","0.019134250848245025","","Visual Measure",""
"Russia","2020","July","new_cases","191532","","Native",""
"Russia","2020","July","new_deaths","4633","","Native",""
"Russia","2020","July","% death","0.02418916943382829","","Visual Measure",""
"Russia","2020","August","new_cases","153941","","Native",""
"Russia","2020","August","new_deaths","3189","","Native",""
"Russia","2020","August","% death","0.02071572875322364","","Visual Measure",""
"Russia","2020","September","new_cases","178397","","Native",""
"Russia","2020","September","new_deaths","3502","","Native",""
"Russia","2020","September","% death","0.019630374950251404","","Visual Measure",""
"Russia","2020","October","new_cases","435468","","Native",""
"Russia","2020","October","new_deaths","7157","","Native",""
"Russia","2020","October","% death","0.016435191564018483","","Visual Measure",""
"Russia","2020","November","new_cases","669669","","Native",""
"Russia","2020","November","new_deaths","11704","","Native",""
"Russia","2020","November","% death","0.017477291019891917","","Visual Measure",""
"Russia","2020","December","new_cases","851411","","Native",""
"Russia","2020","December","new_deaths","16780","","Native",""
